Transcript,Confidence
let's start with four blocks making a big rectangle,0.9593650102615356
 those are quarters exactly right and then,0.726763904094696
 alright so on your left back towards you good put a block to the left of that block in front of it,0.9423803687095642
 okay now I know I'm sorry to the right of that block in front of it that's it then I want you to put,0.9771828055381775
 a block,0.8979194760322571
 to the I'm having a hard time with the left right thing your right to your right,0.9229844212532043
 my way back from the one you just laid now I'm sorry you're working on the one the one you just the block you just placed now move that now move that to your right,0.9067428112030029
 and keep going smitch more now go forward a little bit,0.833707869052887
 yeah that's good now you're going to place a block that is on the last two blocks that you placed,0.9548517465591431
 on top and yes all right now from the Block sits in the middle of the back on the bottom I want you to place a block like to block spaces ahead of that so it's okay so take a block right take a walk put it in front of the one you just had your finger on now move it two spaces forward to block spaces for it I think I need to be more like it's actually should be in line with the other two there you go,0.9518367052078247
 okay,0.9281049966812134
 so now working with the one that's on your right back corner that one put a block in front of that,0.928833544254303
 I'm not sure am I seeing one is there one up,0.9040197730064392
 okay so just moved out a little bit forward,0.9735376834869385
 okay so this whole Road that's to your right needs to move a little bit further right,0.8657861351966858
 now stick one now stick a block about a block space away from that back right corner good and move it slightly forward rational that look like it was good where you had,0.9044256210327148
 and then in front of that,0.9803861975669861
 go to block a move that slightly to your left,0.9156494140625
 and stack that last block on top of it,0.9589257836341858
 I think that's good though,0.8683494329452515
