Transcript,Confidence
so in love top right-hand corner for you there's threes in the stack,0.7747434377670288
 starter,0.8139699101448059
 then like one box was over and four down there's tuna stack,0.8009050488471985
 then there's one in the middle over another block,0.936203122138977
 hands up,0.6760935187339783
 I have a couple select a little the right you're right,0.8406015634536743
 yes sir then two blocks to the right of that and one down there's a stack of 4,0.9026104807853699
 my right your left,0.8568540215492249
 one down,0.791843056678772
 and then two blocks off of. There's one block,0.9236520528793335
 it's a little further down,0.9787800908088684
 yeah,0.8383898138999939
